epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.687,1.476,3.75745,1.83705,0.27284,0.29212,0.25814,0.12687,1.74917,2.61458,2.3483,0.0033287,0.0033287,0.0033287
2,230.826,1.52089,2.97473,1.83232,0.46041,0.36578,0.37669,0.19565,1.72988,2.3336,2.30357,0.00659608,0.00659608,0.00659608
3,339.475,1.57108,2.83854,1.87527,0.49513,0.27338,0.26301,0.12252,1.87141,2.77108,2.48967,0.00979746,0.00979746,0.00979746
4,448.266,1.62521,2.74125,1.9178,0.43009,0.39563,0.36124,0.18386,1.85868,2.37475,2.40307,0.009703,0.009703,0.009703
5,555.314,1.58455,2.53285,1.87933,0.44434,0.45455,0.43223,0.22462,1.7311,2.15211,2.27002,0.009604,0.009604,0.009604
6,666.516,1.54787,2.36037,1.84071,0.5383,0.42164,0.44084,0.22673,1.77525,2.18256,2.28217,0.009505,0.009505,0.009505
7,779.305,1.52413,2.23823,1.81391,0.64464,0.49131,0.52956,0.26454,1.75548,1.81433,2.2873,0.009406,0.009406,0.009406
8,887.932,1.51146,2.14879,1.80253,0.54545,0.49872,0.50489,0.27264,1.69086,1.99436,2.21567,0.009307,0.009307,0.009307
9,997.185,1.4866,2.06544,1.77677,0.58595,0.56411,0.57343,0.31459,1.60531,1.64942,2.11104,0.009208,0.009208,0.009208
10,1105.24,1.46833,1.9963,1.76314,0.59947,0.55685,0.57907,0.3262,1.62825,1.64324,2.10811,0.009109,0.009109,0.009109
11,1213.07,1.46931,1.93867,1.75998,0.64403,0.50777,0.56248,0.30465,1.71966,1.7782,2.19901,0.00901,0.00901,0.00901
12,1324.68,1.43682,1.88037,1.74249,0.69801,0.5861,0.62795,0.34179,1.62063,1.53964,2.10357,0.008911,0.008911,0.008911
13,1431.42,1.4312,1.84714,1.7317,0.6624,0.57785,0.61526,0.35411,1.59175,1.52403,2.08544,0.008812,0.008812,0.008812
14,1538.67,1.40735,1.79687,1.71503,0.72779,0.60003,0.64591,0.3719,1.56484,1.47008,2.05209,0.008713,0.008713,0.008713
15,1644.89,1.41736,1.76156,1.71328,0.66111,0.59675,0.63197,0.35835,1.57348,1.47829,2.06726,0.008614,0.008614,0.008614
16,1751.04,1.40414,1.72287,1.70492,0.74657,0.62927,0.67079,0.38894,1.56093,1.36193,2.0714,0.008515,0.008515,0.008515
17,1857.08,1.39368,1.67254,1.69421,0.72037,0.62207,0.66064,0.38629,1.53711,1.34059,2.0178,0.008416,0.008416,0.008416
18,1962.83,1.3875,1.64949,1.68522,0.74483,0.61913,0.67263,0.39259,1.53679,1.32677,2.01773,0.008317,0.008317,0.008317
19,2068.89,1.37818,1.62785,1.68285,0.76272,0.61458,0.6665,0.38704,1.56849,1.37903,2.04366,0.008218,0.008218,0.008218
20,2174.97,1.36857,1.61048,1.66772,0.77151,0.6224,0.68365,0.39812,1.54285,1.40262,2.03645,0.008119,0.008119,0.008119
21,2279.56,1.36697,1.58881,1.67504,0.76209,0.64667,0.70377,0.40806,1.53376,1.22737,2.00895,0.00802,0.00802,0.00802
22,2382.99,1.36467,1.56063,1.66897,0.77741,0.63702,0.70297,0.41187,1.52566,1.2455,2.00959,0.007921,0.007921,0.007921
23,2486.29,1.34907,1.53366,1.66053,0.71948,0.66379,0.70102,0.40938,1.52181,1.24308,1.99503,0.007822,0.007822,0.007822
24,2589.45,1.34958,1.51894,1.65245,0.77392,0.66993,0.70784,0.41853,1.51334,1.21821,2.00074,0.007723,0.007723,0.007723
25,2692.66,1.33957,1.48895,1.64327,0.77777,0.64695,0.71918,0.42233,1.50733,1.1997,1.98206,0.007624,0.007624,0.007624
26,2795.69,1.31847,1.4626,1.62623,0.80368,0.66021,0.7211,0.42778,1.50259,1.17228,1.97881,0.007525,0.007525,0.007525
27,2899.41,1.32959,1.4514,1.63759,0.74739,0.6801,0.72314,0.42293,1.51216,1.16759,1.98289,0.007426,0.007426,0.007426
28,3002.47,1.3303,1.42123,1.6303,0.79257,0.68661,0.73995,0.44632,1.49018,1.11213,1.97326,0.007327,0.007327,0.007327
29,3105.79,1.31352,1.42839,1.62698,0.80178,0.665,0.72357,0.42862,1.49423,1.17389,1.97004,0.007228,0.007228,0.007228
30,3209.04,1.31076,1.41617,1.62693,0.81454,0.67201,0.73733,0.43929,1.48791,1.14565,1.9585,0.007129,0.007129,0.007129
31,3312.08,1.29872,1.39436,1.61648,0.78685,0.68805,0.73829,0.4368,1.49163,1.13935,1.96444,0.00703,0.00703,0.00703
32,3415.45,1.29917,1.36119,1.61159,0.81379,0.68286,0.73683,0.4314,1.51383,1.13667,1.9868,0.006931,0.006931,0.006931
33,3518.81,1.29424,1.35088,1.60993,0.79631,0.69216,0.74551,0.44185,1.49198,1.10458,1.96932,0.006832,0.006832,0.006832
34,3622.31,1.2814,1.33469,1.60066,0.80664,0.6977,0.74368,0.44669,1.48904,1.07956,1.96503,0.006733,0.006733,0.006733
35,3725.47,1.28073,1.31822,1.59389,0.81968,0.69906,0.75125,0.45029,1.48427,1.07815,1.95565,0.006634,0.006634,0.006634
36,3828.88,1.27413,1.32325,1.59267,0.82009,0.70236,0.761,0.45192,1.50482,1.05588,1.97541,0.006535,0.006535,0.006535
37,3932.47,1.2769,1.31209,1.58981,0.81651,0.69321,0.75258,0.44889,1.4665,1.07458,1.9388,0.006436,0.006436,0.006436
38,4035.91,1.26473,1.26834,1.58285,0.7884,0.70771,0.7532,0.45293,1.475,1.0811,1.95968,0.006337,0.006337,0.006337
39,4139.1,1.26064,1.27315,1.58436,0.83079,0.69125,0.75076,0.45416,1.47034,1.08215,1.95548,0.006238,0.006238,0.006238
40,4242,1.25015,1.25629,1.57143,0.81293,0.70991,0.75661,0.45495,1.46835,1.05949,1.94951,0.006139,0.006139,0.006139
41,4345.23,1.25067,1.25367,1.57063,0.84354,0.68826,0.75528,0.45893,1.47535,1.04355,1.96011,0.00604,0.00604,0.00604
42,4448.35,1.24679,1.23595,1.56447,0.82894,0.71134,0.76722,0.46078,1.48058,1.04228,1.9613,0.005941,0.005941,0.005941
43,4551.1,1.23635,1.23459,1.56341,0.78868,0.72897,0.7614,0.45942,1.46236,1.04486,1.93734,0.005842,0.005842,0.005842
44,4654.21,1.23558,1.20243,1.55518,0.84197,0.70069,0.76275,0.45782,1.47584,1.02768,1.95398,0.005743,0.005743,0.005743
45,4757.47,1.22822,1.19922,1.55134,0.81393,0.7227,0.76974,0.46273,1.46465,1.0005,1.94229,0.005644,0.005644,0.005644
46,4860.79,1.22102,1.19389,1.54634,0.82787,0.70804,0.76354,0.45988,1.46921,1.01495,1.95368,0.005545,0.005545,0.005545
