epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.528,1.48825,3.25443,1.83664,0.49485,0.44104,0.44471,0.22,1.70098,2.12085,2.22365,0.000208044,0.000208044,0.000208044
2,222.214,1.47884,2.4685,1.79365,0.50159,0.44666,0.46374,0.22944,1.76453,1.99507,2.25096,0.000408133,0.000408133,0.000408133
3,326.207,1.48305,2.24805,1.79529,0.56885,0.5054,0.52041,0.27998,1.7205,1.88902,2.20753,0.000599972,0.000599972,0.000599972
4,429.397,1.47746,2.10782,1.78227,0.561,0.54498,0.54929,0.27997,1.75023,1.77174,2.22307,0.000587875,0.000587875,0.000587875
5,532.474,1.45402,1.9783,1.75332,0.67947,0.56919,0.61835,0.33691,1.68131,1.59343,2.15419,0.0005755,0.0005755,0.0005755
6,636.284,1.42827,1.87801,1.73468,0.64781,0.5617,0.60025,0.32308,1.65212,1.61153,2.11366,0.000563125,0.000563125,0.000563125
7,739.124,1.41418,1.79994,1.71472,0.69218,0.56898,0.60367,0.31294,1.70491,1.631,2.20945,0.00055075,0.00055075,0.00055075
8,843.336,1.40195,1.73179,1.70547,0.70663,0.61395,0.64819,0.3655,1.61813,1.48478,2.1081,0.000538375,0.000538375,0.000538375
9,947.046,1.38488,1.67948,1.69068,0.71173,0.6519,0.68035,0.37574,1.59869,1.37106,2.07496,0.000526,0.000526,0.000526
10,1051.98,1.36605,1.62469,1.6784,0.7209,0.62401,0.66669,0.36649,1.61527,1.38363,2.08106,0.000513625,0.000513625,0.000513625
11,1157.32,1.36436,1.59098,1.67144,0.72493,0.64046,0.68437,0.37504,1.61571,1.36511,2.0896,0.00050125,0.00050125,0.00050125
12,1261.25,1.34369,1.5496,1.66043,0.73011,0.64835,0.68525,0.38327,1.58704,1.33396,2.05143,0.000488875,0.000488875,0.000488875
13,1364.52,1.3373,1.51699,1.65251,0.76972,0.65559,0.71311,0.4004,1.56271,1.33127,2.03224,0.0004765,0.0004765,0.0004765
14,1467.7,1.31988,1.48467,1.63874,0.73259,0.63897,0.69141,0.39399,1.56857,1.32072,2.02881,0.000464125,0.000464125,0.000464125
15,1572.68,1.31911,1.45452,1.63116,0.76692,0.67731,0.72091,0.40652,1.57935,1.25007,2.03335,0.00045175,0.00045175,0.00045175
16,1676.06,1.30539,1.41398,1.62359,0.76225,0.6876,0.72231,0.41271,1.5634,1.23964,2.02866,0.000439375,0.000439375,0.000439375
17,1778.84,1.30205,1.37368,1.6161,0.81119,0.66088,0.72304,0.40658,1.54317,1.23247,2.01186,0.000427,0.000427,0.000427
18,1881.61,1.28299,1.3594,1.60362,0.79684,0.68231,0.74085,0.42339,1.52592,1.19862,1.98839,0.000414625,0.000414625,0.000414625
19,1984.4,1.27857,1.33788,1.60107,0.78941,0.67635,0.733,0.42123,1.566,1.1926,2.02866,0.00040225,0.00040225,0.00040225
20,2086.71,1.27019,1.33126,1.58973,0.79952,0.69637,0.74535,0.43269,1.53518,1.15459,1.99919,0.000389875,0.000389875,0.000389875
21,2189.46,1.26712,1.29626,1.5906,0.79576,0.69013,0.74215,0.42955,1.54029,1.15322,2.00409,0.0003775,0.0003775,0.0003775
22,2292.85,1.2597,1.27344,1.58171,0.81391,0.67377,0.7379,0.41978,1.56675,1.17345,2.03612,0.000365125,0.000365125,0.000365125
23,2394.57,1.24931,1.26605,1.57815,0.82257,0.67828,0.7441,0.43402,1.52517,1.13686,1.98992,0.00035275,0.00035275,0.00035275
24,2498.52,1.24385,1.24633,1.56864,0.78728,0.69531,0.7436,0.43112,1.56255,1.1452,2.01852,0.000340375,0.000340375,0.000340375
25,2602.82,1.23546,1.214,1.55933,0.82618,0.69873,0.75677,0.43853,1.52871,1.12089,2.00109,0.000328,0.000328,0.000328
26,2705.35,1.216,1.19151,1.54468,0.83058,0.69179,0.75468,0.43517,1.53734,1.11799,1.99908,0.000315625,0.000315625,0.000315625
27,2808.57,1.21675,1.18217,1.54596,0.79377,0.70991,0.75789,0.43804,1.53185,1.11267,1.99958,0.00030325,0.00030325,0.00030325
28,2913.39,1.2126,1.16419,1.54166,0.82044,0.70643,0.77039,0.44141,1.53585,1.08258,2.0105,0.000290875,0.000290875,0.000290875
29,3018.64,1.19841,1.15136,1.53424,0.82762,0.70079,0.76833,0.44557,1.53873,1.08996,2.01115,0.0002785,0.0002785,0.0002785
30,3122.25,1.19664,1.13705,1.53134,0.81688,0.7077,0.7625,0.43695,1.5608,1.06942,2.02945,0.000266125,0.000266125,0.000266125
31,3225.72,1.1833,1.11932,1.5238,0.83929,0.70273,0.77119,0.45052,1.53309,1.06441,2.00718,0.00025375,0.00025375,0.00025375
32,3332.62,1.17762,1.10282,1.5149,0.82847,0.71673,0.77505,0.44876,1.54334,1.05899,2.00777,0.000241375,0.000241375,0.000241375
33,3438.26,1.17098,1.094,1.50947,0.81991,0.72687,0.77435,0.44547,1.55215,1.08168,2.02808,0.000229,0.000229,0.000229
34,3546.37,1.15919,1.07227,1.50068,0.83786,0.70828,0.76338,0.44162,1.55218,1.09714,2.02851,0.000216625,0.000216625,0.000216625
35,3652.48,1.14976,1.05893,1.49085,0.82059,0.73165,0.77622,0.44676,1.55801,1.0581,2.04249,0.00020425,0.00020425,0.00020425
36,3759.12,1.14437,1.05105,1.48671,0.81076,0.72722,0.77542,0.44562,1.53826,1.05693,2.01816,0.000191875,0.000191875,0.000191875
37,3865.39,1.14314,1.04197,1.48171,0.81914,0.70747,0.76473,0.44145,1.55603,1.06559,2.03527,0.0001795,0.0001795,0.0001795
